,Rank,Country,Country Code,Year,Score,GDP,Family,HealthyLife,Freedom,Generosity,Corruption,CleanCooking,ElectricAccess,CO2,InternetAccess,MilitaryGDP,MobileSubs,InfantMortality
17,140,Angola,AGO,2017,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.097926490008831,0.0697203353047371,48.400002,43.0016098,1.0343173,32.0,2.507985456,44.68610714,53.5
18,142,Angola,AGO,2018,3.795,0.73,1.125,0.269,0.0,0.079,0.061,49.0,45.29,0.887380364,35.0,1.871775866,43.13051888,51.7
19,30,Argentina,ARG,2015,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,99.699997,99.81168365,4.314433522,68.04306411,0.850128583,143.566834,10.2
20,26,Argentina,ARG,2016,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,99.800003,99.95601654,4.227539442,70.96898082,0.813140078,146.4538276,9.7
21,24,Argentina,ARG,2017,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,99.800003,100.0,4.089471516,74.29490687,0.856137916,140.8771235,9.2
22,29,Argentina,ARG,2018,6.388,1.073,1.468,0.744,0.57,0.062,0.054,99.800003,100.0,3.987234198,,0.745498855,132.0931513,8.6
23,47,Argentina,ARG,2019,6.086,1.092,1.432,0.881,0.471,0.066,0.05,99.800003,100.0,,,0.706186671,125.842106,8.1
24,127,Armenia,ARM,2015,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,97.800003,100.0,1.825292192,59.10083377,4.239225786,118.4217138,12.6
25,121,Armenia,ARM,2016,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,98.0,99.8,1.726752782,64.34602977,4.090349217,116.9754675,12.0
26,121,Armenia,ARM,2017,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,98.0,99.7,1.806581049,64.74488433,3.849730577,118.4642306,11.3
27,129,Armenia,ARM,2018,4.321,0.816,0.99,0.666,0.26,0.077,0.028,98.099998,99.9,1.880246268,68.24505226,4.119886153,121.259018,10.8
28,116,Armenia,ARM,2019,4.559,0.85,1.055,0.815,0.283,0.095,0.064,98.099998,100.0,,66.54394969,4.768968354,122.3487531,10.2
29,10,Australia,AUS,2015,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,100.0,100.0,15.7864494,84.56051491,1.951027863,107.6778349,3.3
30,9,Australia,AUS,2016,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,100.0,100.0,15.87207954,86.54,2.083689225,109.4312952,3.2
31,10,Australia,AUS,2017,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,100.0,100.0,15.7386474,86.54504885,1.997577266,108.4417819,3.2
32,10,Australia,AUS,2018,7.272,1.34,1.573,0.91,0.647,0.361,0.302,100.0,100.0,15.47551649,,1.890622246,111.012255,3.2
33,11,Australia,AUS,2019,7.228,1.372,1.548,1.036,0.557,0.332,0.29,100.0,100.0,,,1.879743267,109.2520084,3.2
34,13,Austria,AUT,2015,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,100.0,100.0,7.306745266,83.94014193,0.698138152,155.2154711,3.0
35,12,Austria,AUT,2016,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,100.0,100.0,7.255626516,84.32374257,0.729737692,126.6614696,3.0
36,13,Austria,AUT,2017,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,100.0,100.0,7.482751479,87.93558659,0.757321291,123.1192958,2.9
37,12,Austria,AUT,2018,7.139,1.341,1.504,0.891,0.617,0.242,0.224,100.0,100.0,7.146637625,87.47913723,0.744858294,123.5352681,2.9
38,10,Austria,AUT,2019,7.246,1.376,1.475,1.016,0.532,0.244,0.226,100.0,100.0,,87.75220479,0.72740941,119.7752968,2.9
39,80,Azerbaijan,AZE,2015,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,96.0,100.0,3.333906429,77.0,5.464876793,111.1650782,23.3
40,81,Azerbaijan,AZE,2016,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,96.199997,100.0,3.347061821,78.2,3.688527303,104.6523726,21.8
41,85,Azerbaijan,AZE,2017,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,96.400002,100.0,3.244356904,79.0,3.756301732,102.8610548,20.3
42,87,Azerbaijan,AZE,2018,5.201,1.024,1.161,0.603,0.43,0.031,0.176,96.699997,100.0,3.221402183,79.79999549,3.562401234,103.9214187,19.2
43,90,Azerbaijan,AZE,2019,5.208,1.043,1.147,0.769,0.351,0.035,0.182,96.699997,100.0,,81.09999907,3.873411703,106.9924534,18.2
